Reporting Month,Supplier Part Id,Supplier Part Number,Brand Catalog,Wayfair Sku,Product Name,Class Name,Total Revenue,Total Revenue Mom,Total Revenue Yoy,Total Revenue B2B,Total Revenue Premium Brands,Total Orders,Total Orders B2B,Total Orders Premium Brands,Units Sold,Units Sold B2B,Units Sold Premium Brands,Sessions,Sessions Mom,Sessions Yoy,Sessions Percentage B2B,Unit Session Percentage,Unit Session Percentage B2B,Add To Cart Rate,Conversion Rate,Order To Delivery Stated,Order To Delivery Actual,Fill Rate Supplier,Actual Lost Sales,Option Combination Image Coverage,Required Tag Coverage,Sponsored Product Impressions (SKU Level),Sponsored Product Clicks (SKU Level),Sponsored Product Average Daily Spend (SKU Level),Sponsored Product Total Spend (SKU Level),Sponsored Product Attributed Revenue (SKU Level),Sponsored Product Attributed Orders (SKU Level),Sponsored Product Cost Per Click (SKU Level),Sponsored Product Return On Ad Spend Revenue (SKU Level),Sponsored Product Return On Ad Spend Retail Sales (SKU Level)
May 2026,140356782,3T-B,Wayfair US,DMOM1017,"34""W 20-30 Gallon Metal Fish Tank Stand - Heavy Duty 3-Tier Adjustable Aquarium/Reptile Tank Rack for Home Office",Aquariums & Bowls,0,,,0,0,0,0,0,0,0,0,70,1.2580645161290323,,0.071428571428571425,0,0,0,0.014285714285714285,,,,,1,0.72222222222222221,13106,241,2.1124,52.81,122.5,2,0.219128631,2.319636432,3.445938269
May 2026,140356783,5T-dong-183-120,Wayfair Canada (English),DMOM1015,"5-Tier Heavy Duty Metal Shelving Unit - 2000LBS Capacity with Pegboard & Lockable Wheels, for Garage/Warehouse/Kitchen",Shelving & Racks,,,,,,,,,,,,,-1,,,,,,,,,,,0,0.75,,,,,,,,,
May 2026,140356783,5T-dong-183-120,Wayfair Canada (French),DMOM1015,"Étagère à 5 niveaux en métal robuste - capacité de 2000 lb avec panneau perforé et roues verrouillables, pour le garage / entrepôt / cuisine",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,0,0.75,,,,,,,,,
May 2026,140356783,5T-dong-183-120,Wayfair US,DMOM1015,"5-Tier Heavy Duty Metal Shelving Unit - 2000LBS Capacity with Pegboard & Lockable Wheels, for Garage/Warehouse/Kitchen",Shelving & Racks,,,,,,,,,,,,3,-0.5,,,0,,0,0,,,,,0,0.75,,,,,,,,,
May 2026,140356784,5T-dong-198-120,Wayfair Canada (English),DMOM1015,"5-Tier Heavy Duty Metal Shelving Unit - 2000LBS Capacity with Pegboard & Lockable Wheels, for Garage/Warehouse/Kitchen",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,140356784,5T-dong-198-120,Wayfair Canada (French),DMOM1015,"Étagère à 5 niveaux en métal robuste - capacité de 2000 lb avec panneau perforé et roues verrouillables, pour le garage / entrepôt / cuisine",Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,140356784,5T-dong-198-120,Wayfair US,DMOM1015,"5-Tier Heavy Duty Metal Shelving Unit - 2000LBS Capacity with Pegboard & Lockable Wheels, for Garage/Warehouse/Kitchen",Shelving & Racks,,,,,,,,,,,,1,,,,0,,0,0,,,,,1,0.75,,,,,,,,,
May 2026,140356785,5T-wangge,Wayfair Canada (English),DMOM1016,"72""H 5-Tier Adjustable Heavy Duty Shelving Metal Mesh Storage Rack",Shelving & Racks,,,,,,,,,,,,2,1,,,0,,0,0,,,,,1,0.75,99,0,0,0,,,,,
May 2026,140356785,5T-wangge,Wayfair Canada (French),DMOM1016,Étagère de rangement 72 mailles 72 pouces,Shelving & Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,
May 2026,140356785,5T-wangge,Wayfair US,DMOM1016,"72""H 5-Tier Adjustable Heavy Duty Shelving Metal Mesh Storage Rack",Shelving & Racks,,,,,,,,,,,,16,0.14285714285714285,,0.0625,0,0,0.0625,0,,,,,1,0.75,866,11,0.405416667,9.73,,,0.884545455,,
