Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,LFC-4B,159.8,5.33,613.88,25.58,42.24,1.41,1,0.03,4,0.17,1,0.03,12,28,7.1428571428571423
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,MFC-D2-B,1059.85,35.33,272.98,11.37,0,0,12,0.4,3,0.13,0,0,12,9,22.222222222222221
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,MFC-D2-W,0,0,87.89,3.66,548.57,18.29,0,0,1,0.04,11,0.37,12,2,0
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,MFC-D3-W,676.02,22.53,347.42,14.48,435.43,14.51,8,0.27,4,0.17,7,0.23,12,12,8.3333333333333321
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,VF-ZH-4B,608.65,20.29,295.62,12.32,313.02,10.43,4,0.13,2,0.08,2,0.07,12,11,18.181818181818183
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,VFC-4B,0,0,0,0,86.86,2.9,0,0,1,0.04,1,0.03,12,5,20
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair Canada (English),VFC-4B,0,0,227.37,9.47,0,0,0,0,2,0.08,0,0,12,2,50
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,VFC-4W,0,0,115.81,4.83,0,0,0,0,1,0.04,0,0,12,,
NA Cyber 13 - November 2025,2025-11-20,2025-12-03,Filing Cabinets,Wayfair Canada (English),LFC-2W-680,0,0,103.15,7.37,0,0,0,0,1,0.07,0,0,10,4,25
NA Cyber 13 Extended - November 2025,2025-12-03,2025-12-08,Shelving & Racks,Wayfair US,5T-1830-1200,118.44,3.95,118.44,19.74,118.44,3.95,1,0.03,1,0.17,1,0.03,10,,
